,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
25,58,Growlithe,"Fire,Fire",Puppy Pokémon,"Intimidate,Flash Fire",19.0 kg,0.7 m,75,25,Field,58,127,129,,,,,,51,,,,52,64,,,,
26,59,Arcanine,"Fire,Fire",Legendary Pokémon,"Intimidate,Flash Fire",155.0 kg,1.9 m,75,25,Field,59,128,130,,,,,,52,,,,53,65,,,,
27,63,Abra,"Psychic,Psychic",Psi Pokémon,"Synchronize,Inner Focus",19.5 kg,0.9 m,75,25,Human-Like,63,,,39,40,20,,,,102,,,42,49,,31,,
28,64,Kadabra,"Psychic,Psychic",Psi Pokémon,"Synchronize,Inner Focus",56.7 kg,1.3 m,75,25,Human-Like,64,,,40,41,21,,,,103,,,43,50,,32,,
29,65,Alakazam,"Psychic,Psychic",Psi Pokémon,"Synchronize,Inner Focus",48.0 kg,1.5 m,75,25,"Human-Like,Human-Like",65,,,41,42,22,,,,104,,,44,51,,33,,
30,66,Machop,"Fighting,Fighting",Superpower Pokémon,"Guts,No Guard",19.5 kg,0.8 m,75,25,Human-Like,66,140,142,73,75,40,,,,,57,,95,117,,,,
31,67,Machoke,"Fighting,Fighting",Superpower Pokémon,"Guts,No Guard",70.3 kg,1.5 m,75,25,Human-Like,67,141,143,74,76,41,,,,,58,,96,118,,,,
32,68,Machamp,"Fighting,Rock",Superpower Pokémon,"Guts,No Guard",130.0 kg,1.6 m,75,25,Human-Like,68,142,144,75,77,42,,,,,59,,97,119,,,,
33,125,Electabuzz,"Electric,Ground",Electric Pokémon,Static,30.0 kg,1.1 m,75,25,Human-Like,125,155,157,,,,198,,57,,,,227,296,,,16,
34,126,Magmar,"Fire,Poison",Spitfire Pokémon,Flame Body,44.5 kg,1.3 m,75,25,Human-Like,126,151,153,,,,201,,54,,,,167,201,,,19,
35,10,Caterpie,"Bug,Normal",Worm Pokémon,Shield Dust,2.9 kg,0.3 m,50,50,Bug,10,,,,,,,,,23,,,,,,,,
36,11,Metapod,"Bug,Normal",Cocoon Pokémon,Shed Skin,9.9 kg,0.7 m,50,50,Bug,11,,,,,,,,,24,,,,,,,,
37,12,Butterfree,"Bug,Flying",Butterfly Pokémon,Compound Eyes,32.0 kg,1.1 m,50,50,Bug,12,,,,,,,,,25,,,,,,,,
38,13,Weedle,"Bug,Poison",Hairy Bug Pokémon,Shield Dust,3.2 kg,0.3 m,50,50,Bug,13,,,,,,,,,26,,,,,,,,
39,14,Kakuna,"Bug,Poison",Cocoon Pokémon,Shed Skin,10.0 kg,0.6 m,50,50,Bug,14,,,,,,,,,27,,,,,,,,
40,15,Beedrill,"Bug,Poison",Poison Bee Pokémon,Swarm,29.5 kg,1.0 m,50,50,"Bug,Bug",15,,,,,,,,,28,,,,,,,,
41,16,Pidgey,"Normal,Flying",Tiny Bird Pokémon,"Keen Eye,Tangled Feet",1.8 kg,0.3 m,50,50,Flying,16,,,,,,,,,17,,,,,,,,
42,17,Pidgeotto,"Normal,Flying",Bird Pokémon,"Keen Eye,Tangled Feet",30.0 kg,1.1 m,50,50,Flying,17,,,,,,,,,18,,,,,,,,
43,18,Pidgeot,"Normal,Flying",Bird Pokémon,"Keen Eye,Tangled Feet",39.5 kg,1.5 m,50,50,"Flying,Flying",18,,,,,,,,,19,,,,,,,,
44,19,Rattata,"Normal,Dark",Mouse Pokémon,"Run Away,Guts",3.5 kg,0.3 m,50,50,"Field,Field",19,,,,,,,,59,,,,,,,,,
45,20,Raticate,"Normal,Dark",Mouse Pokémon,"Run Away,Guts",18.5 kg,0.7 m,50,50,"Field,Field",20,,,,,,,,60,,,,,,,,,
46,21,Spearow,"Normal,Flying",Tiny Bird Pokémon,Keen Eye,2.0 kg,0.3 m,50,50,Flying,21,,,,,,,,,,,109,73,87,,,,
47,22,Fearow,"Normal,Flying",Beak Pokémon,Keen Eye,38.0 kg,1.2 m,50,50,Flying,22,,,,,,,,,,,110,74,88,,,,
48,24,Arbok,"Poison,Dark",Cobra Pokémon,"Intimidate,Shed Skin",65.0 kg,3.5 m,50,50,"Dragon,Field",24,,,,,,,,,,,38,,,,,,
49,25,Pikachu,"Electric,Electric",Mouse Pokémon,Static,6.0 kg,0.4 m,50,50,"Fairy,Field",25,,,156,163,104,,,,36,,,25,32,194,85,,
50,26,Raichu,"Electric,Electric",Mouse Pokémon,Static,30.0 kg,0.8 m,50,50,"Fairy,Field",26,,,157,164,105,,,,37,,,26,33,195,86,,
51,27,Sandshrew,"Ground,Ice",Mouse Pokémon,Sand Veil,12.0 kg,0.6 m,50,50,"Field,Field",27,,,112,117,,,,113,,,97,251,328,,,,
52,28,Sandslash,"Ground,Ice",Mouse Pokémon,Sand Veil,29.5 kg,1.0 m,50,50,"Field,Field",28,,,113,118,,,,114,,,98,252,329,,169,,
53,41,Zubat,"Poison,Flying",Bat Pokémon,Inner Focus,7.5 kg,0.6 m,50,50,Flying,41,,,63,65,28,,,61,145,,,68,80,,,,
54,42,Golbat,"Poison,Flying",Bat Pokémon,Inner Focus,55.0 kg,1.6 m,50,50,Flying,42,,,64,66,29,,,62,146,,,69,81,,,,
55,43,Oddish,"Grass,Poison",Weed Pokémon,Chlorophyll,5.4 kg,0.5 m,50,50,Grass,43,,,88,91,,,,,105,,,,,,,,
56,44,Gloom,"Grass,Poison",Weed Pokémon,Chlorophyll,8.6 kg,0.8 m,50,50,Grass,44,,,89,92,,,,,106,,,,,,,,
57,45,Vileplume,"Grass,Poison",Flower Pokémon,Chlorophyll,18.6 kg,1.2 m,50,50,Grass,45,,,90,93,,,,,107,,,,,,,,
58,46,Paras,"Bug,Grass",Mushroom Pokémon,"Effect Spore,Dry Skin",5.4 kg,0.3 m,50,50,"Bug,Grass",46,,,,,,,,,,,,147,180,,,,
59,47,Parasect,"Bug,Grass",Mushroom Pokémon,"Effect Spore,Dry Skin",29.5 kg,1.0 m,50,50,"Bug,Grass",47,,,,,,,,,,,,148,181,,,,
60,48,Venonat,"Bug,Poison",Insect Pokémon,"Compound Eyes,Tinted Lens",30.0 kg,1.0 m,50,50,Bug,48,108,109,,,,,,,,,,,,,,,256
61,49,Venomoth,"Bug,Poison",Poison Moth Pokémon,"Shield Dust,Tinted Lens",12.5 kg,1.5 m,50,50,Bug,49,109,110,,,,,,,,,,,,,,,
62,50,Diglett,"Ground,Ground",Mole Pokémon,"Sand Veil,Arena Trap",0.8 kg,0.2 m,50,50,"Field,Field",50,132,134,,,,,,,,,1,71,85,,,,
63,51,Dugtrio,"Ground,Ground",Mole Pokémon,"Sand Veil,Arena Trap",33.3 kg,0.7 m,50,50,"Field,Field",51,133,135,,,,,,,,,2,72,86,,,,
64,52,Meowth,"Normal,Dark",Scratch Cat Pokémon,"Pickup,Technician",4.2 kg,0.4 m,50,50,"Field,Field",52,136,138,,,,,,,,,,45,52,,,,
65,53,Persian,"Normal,Dark",Classy Cat Pokémon,"Limber,Technician",32.0 kg,1.0 m,50,50,"Field,Field",53,137,139,,,,,,,,,,46,53,,,,
66,54,Psyduck,"Water,Water",Duck Pokémon,"Damp,Cloud Nine",19.6 kg,0.8 m,50,50,"Field,Water 1",54,138,140,158,165,43,,,28,59,,,89,107,,146,,55
67,55,Golduck,"Water,Normal",Duck Pokémon,"Damp,Cloud Nine",76.6 kg,1.7 m,50,50,"Field,Water 1",55,139,141,159,166,44,,,29,60,,,90,108,,147,,56
68,56,Mankey,"Fighting,Normal",Pig Monkey Pokémon,"Vital Spirit,Anger Point",28.0 kg,0.5 m,50,50,Field,56,134,136,,,,,,,,,,79,93,,,,
69,57,Primeape,"Fighting,Normal",Pig Monkey Pokémon,"Vital Spirit,Anger Point",32.0 kg,1.0 m,50,50,Field,57,135,137,,,,,,,,,,80,94,,,,
70,60,Poliwag,"Water,Water",Tadpole Pokémon,"Water Absorb,Damp",12.4 kg,0.6 m,50,50,Water 1,60,,,,,,,,,,,33,149,182,,142,,
71,61,Poliwhirl,"Water,Water",Tadpole Pokémon,"Water Absorb,Damp",20.0 kg,1.0 m,50,50,Water 1,61,,,,,,,,,,,34,150,183,,143,,
72,62,Poliwrath,"Water,Fighting",Tadpole Pokémon,"Water Absorb,Damp",54.0 kg,1.3 m,50,50,Water 1,62,,,,,,,,,,,35,151,184,,144,,
73,69,Bellsprout,"Grass,Poison",Flower Pokémon,Chlorophyll,4.0 kg,0.7 m,50,50,Grass,69,,,,,,,,,,,26,,,,,,
74,70,Weepinbell,"Grass,Poison",Flycatcher Pokémon,Chlorophyll,6.4 kg,1.0 m,50,50,Grass,70,,,,,,,,,,,27,,,,,,
75,71,Victreebel,"Grass,Poison",Flycatcher Pokémon,Chlorophyll,15.5 kg,1.7 m,50,50,Grass,71,,,,,,,,,,,28,,,,,,
76,72,Tentacool,"Water,Poison",Jellyfish Pokémon,"Clear Body,Liquid Ooze",45.5 kg,0.9 m,50,50,Water 3,72,162,164,66,68,136,,,,,25,,106,129,,40,,
77,73,Tentacruel,"Water,Poison",Jellyfish Pokémon,"Clear Body,Liquid Ooze",55.0 kg,1.6 m,50,50,Water 3,73,163,165,67,69,137,,,,,26,,107,130,,41,,
78,74,Geodude,"Rock,Ground",Rock Pokémon,"Rock Head,Sturdy",20.0 kg,0.4 m,50,50,"Mineral,Mineral",74,,,57,58,31,,,,,,9,229,298,,,,
79,75,Graveler,"Rock,Ground",Rock Pokémon,"Rock Head,Sturdy",105.0 kg,1.0 m,50,50,"Mineral,Mineral",75,,,58,59,32,,,,,,10,230,299,,,,
80,76,Golem,"Rock,Ground",Megaton Pokémon,"Rock Head,Sturdy",300.0 kg,1.4 m,50,50,"Mineral,Mineral",76,,,59,60,33,,,,,,11,231,300,,,,
81,77,Ponyta,"Fire,Psychic",Fire Horse Pokémon,"Run Away,Flash Fire",30.0 kg,1.0 m,50,50,"Field,Field",77,201,206,,,90,,,,,,,,,,,,
82,78,Rapidash,"Fire,Psychic",Fire Horse Pokémon,"Run Away,Flash Fire",95.0 kg,1.7 m,50,50,"Field,Field",78,202,207,,,91,,,,,,,,,,,,
83,79,Slowpoke,"Water,Psychic",Dopey Pokémon,"Oblivious,Own Tempo",36.0 kg,1.2 m,50,50,"Water 1,Monster",79,,,,,,,,,,133,,37,44,,1,,
84,80,Slowbro,"Water,Psychic",Hermit Crab Pokémon,"Oblivious,Own Tempo",78.5 kg,1.6 m,50,50,"Water 1,Monster",80,,,,,,,,,,134,,38,45,,2,,
85,83,Farfetch'd,"Normal,Flying",Wild Duck Pokémon,"Keen Eye,Inner Focus",15.0 kg,0.8 m,50,50,"Flying,Field",83,158,160,,,,,,,61,,,,,,,,
86,84,Doduo,"Normal,Flying",Twin Bird Pokémon,"Run Away,Early Bird",39.2 kg,1.4 m,50,50,Flying,84,199,204,92,95,,,,,94,,,,,,,,
87,85,Dodrio,"Normal,Flying",Triple Bird Pokémon,"Run Away,Early Bird",85.2 kg,1.8 m,50,50,Flying,85,200,205,93,96,,,,,95,,,,,,,,
88,86,Seel,"Water,Normal",Sea Lion Pokémon,"Thick Fat,Hydration",90.0 kg,1.1 m,50,50,"Water 1,Field",86,176,178,,,,,,265,,,,,,,,,
89,87,Dewgong,"Water,Ice",Sea Lion Pokémon,"Thick Fat,Hydration",120.0 kg,1.7 m,50,50,"Water 1,Field",87,177,179,,,,,,266,,,,,,,,,
90,88,Grimer,"Poison,Poison",Sludge Pokémon,"Stench,Sticky Hold",30.0 kg,0.9 m,50,50,"Amorphous,Amorphous",88,116,117,106,111,,,,64,,,,50,57,,,,
91,89,Muk,"Poison,Poison",Sludge Pokémon,"Stench,Sticky Hold",30.0 kg,1.2 m,50,50,"Amorphous,Amorphous",89,117,118,107,112,,,,65,,,,51,58,,,,
92,90,Shellder,"Water,Normal",Bivalve Pokémon,"Shell Armor,Skill Link",4.0 kg,0.3 m,50,50,Water 3,90,169,171,,,,,,,,36,,115,138,150,131,,
93,91,Cloyster,"Water,Ice",Bivalve Pokémon,"Shell Armor,Skill Link",132.5 kg,1.5 m,50,50,Water 3,91,170,172,,,,,,,,37,,116,139,151,132,,
94,92,Gastly,"Ghost,Poison",Gas Pokémon,Levitate,0.1 kg,1.3 m,50,50,Amorphous,92,,,,,69,,,,,,30,61,73,,,,
95,93,Haunter,"Ghost,Poison",Gas Pokémon,Levitate,0.1 kg,1.6 m,50,50,Amorphous,93,,,,,70,,,,,,31,62,74,,,,
96,94,Gengar,"Ghost,Poison",Shadow Pokémon,"Cursed Body, (Gen VII onwards),Levitate, (Gens III-VI)",40.5 kg,1.5 m,50,50,"Amorphous,Amorphous",94,,,,,71,,,,,,32,63,75,,,,
97,95,Onix,"Rock,Ground",Rock Snake Pokémon,"Rock Head,Sturdy",210.5 kg,8.8 m,50,50,Mineral,95,,,,,34,,,71,53,,,,,,,,
98,96,Drowzee,"Psychic,Psychic",Hypnosis Pokémon,"Insomnia,Forewarn",32.4kg,1.0 m,50,50,Human-Like,96,,,,,,,,,,,,54,66,,,,
99,97,Hypno,"Psychic,Psychic",Hypnosis Pokémon,"Insomnia,Forewarn",75.6 kg,1.6 m,50,50,Human-Like,97,,,,,,,,,,,,55,67,,,,
100,98,Krabby,"Water,Water",River Crab Pokémon,"Hyper Cutter,Shell Armor",6.5 kg,0.4 m,50,50,Water 3,98,164,166,,,,,,,,,,,,98,38,,
101,99,Kingler,"Water,Rock",Pincer Pokémon,"Hyper Cutter,Shell Armor",60.0 kg,1.3 m,50,50,"Water 3,Water 3",99,165,167,,,,,,,,,,,,99,39,,
102,102,Exeggcute,"Grass,Psychic",Egg Pokémon,Chlorophyll,2.5 kg,0.4 m,50,50,Grass,102,104,105,,,,,,,,136,,269,355,,205,,
103,103,Exeggutor,"Grass,Psychic",Coconut Pokémon,Chlorophyll,120.0 kg,2.0 m,50,50,"Grass,Grass",103,105,106,,,,,,,,137,,270,356,,206,,
104,104,Cubone,"Ground,Normal",Lonely Pokémon,"Rock Head,Lightning Rod",6.5 kg,0.4 m,50,50,Monster,104,203,208,,,,,,,,60,,163,197,,170,,
105,105,Marowak,"Ground,Fire",Bone Keeper Pokémon,"Rock Head, , ,Lightning Rod",45.0 kg,1.0 m,50,50,"Monster,Monster",105,204,209,,,,,,,,61,,164,198,,171,,
106,108,Lickitung,"Normal,Ghost",Licking Pokémon,"Own Tempo,Oblivious",65.5 kg,1.2 m,50,50,Monster,108,178,180,,,,161,,284,,,134,,,,54,,
107,109,Koffing,"Poison,Poison",Poison Gas Pokémon,Levitate,1.0 kg,0.6 m,50,50,Amorphous,109,114,115,108,113,62,,,46,,,,,,,,,
108,110,Weezing,"Poison,Poison",Poison Gas Pokémon,Levitate,9.5 kg,1.2 m,50,50,"Amorphous,Amorphous",110,115,116,109,114,,,,47,,,,,,,,,
109,111,Rhyhorn,"Ground,Rock",Spikes Pokémon,"Lightning Rod,Rock Head",115.0 kg,1.0 m,50,50,"Field,Monster",111,206,211,169,176,,186,,,,50,,,,264,183,,
110,112,Rhydon,"Ground,Rock",Drill Pokémon,"Lightning Rod,Rock Head",120.0 kg,1.9 m,50,50,"Field,Monster",112,207,212,170,177,,187,,,,51,,,,265,184,,
111,114,Tangela,"Grass,Grass",Vine Pokémon,"Chlorophyll,Leaf Guard",35.0 kg,1.0 m,50,50,Grass,114,179,182,,,,181,,217,,,,,,,80,,
112,116,Horsea,"Water,Water",Dragon Pokémon,"Swift Swim,Sniper",8.0 kg,0.4 m,50,50,"Dragon,Water 1",116,186,190,184,193,,,,,,39,,,,,198,,
113,117,Seadra,"Water,Water",Dragon Pokémon,"Poison Point,Sniper",25.0 kg,1.2 m,50,50,"Dragon,Water 1",117,187,191,185,194,,,,,,40,,,,,199,,
114,118,Goldeen,"Water,Flying",Goldfish Pokémon,"Swift Swim,Water Veil",15.0 kg,0.6 m,50,50,Water 2,118,,,50,51,78,,,,53,,,153,186,146,94,,
115,119,Seaking,"Water,Bug",Goldfish Pokémon,"Swift Swim,Water Veil",39.0 kg,1.3 m,50,50,Water 2,119,,,51,52,79,,,,54,,,154,187,147,95,,
116,122,Mr. Mime,"Psychic,Fairy",Barrier Pokémon,"Soundproof,Filter",54.5 kg,1.3 m,50,50,"Human-Like,Human-Like",122,156,158,,,95,,,,,114,,,,365,,11,
117,123,Scyther,"Bug,Flying",Mantis Pokémon,"Swarm,Technician",56.0 kg,1.5 m,50,50,Bug,123,110,111,,,,195,,,,,136,275,365,,118,,
118,127,Pinsir,"Bug,Bug",Stag Beetle Pokémon,"Hyper Cutter,Mold Breaker",55.0 kg,1.5 m,50,50,"Bug,Bug",127,112,113,167,174,,,,146,,130,,175,211,,120,,
119,129,Magikarp,"Water,Normal",Fish Pokémon,Swift Swim,10.0 kg,0.9 m,50,50,"Water 2,Dragon",129,,,52,53,23,,,,49,,,91,111,144,42,,
120,130,Gyarados,"Water,Flying",Atrocious Pokémon,Intimidate,235.0 kg,6.5 m,50,50,"Water 2,Dragon",130,,,53,54,24,,,,50,,,92,112,145,43,,
121,131,Lapras,"Water,Ice",Transport Pokémon,"Water Absorb,Shell Armor",220.5 kg,2.5 m,50,50,"Water 1,Monster",131,219,224,,,,,,242,,150,,268,353,,,,
122,147,Dratini,"Dragon,Normal",Dragon Pokémon,Shed Skin,3.3 kg,1.8 m,50,50,"Water 1,Dragon",147,241,246,,,,,,,,,145,281,379,,,,
123,148,Dragonair,"Dragon,Normal",Dragon Pokémon,Shed Skin,16.5 kg,4.0 m,50,50,"Water 1,Dragon",148,242,246,,,,,,,,,146,282,380,,,,
124,149,Dragonite,"Dragon,Flying",Dragon Pokémon,Inner Focus,210.0 kg,2.2 m,50,50,"Water 1,Dragon",149,243,248,,,,,,,,,147,283,381,,,,
125,35,Clefairy,"Fairy,Normal",Fairy Pokémon,"Cute Charm,Magic Guard",7.5 kg,0.6 m,25,75,Fairy,35,,,,,100,,,89,,,,211,273,,,,
126,36,Clefable,"Fairy,Normal",Fairy Pokémon,"Cute Charm,Magic Guard",40.0 kg,1.3 m,25,75,Fairy,36,,,,,101,,,90,,,,212,274,,,,
127,37,Vulpix,"Fire,Ice",Fox Pokémon,Flash Fire,9.9 kg,0.6 m,25,75,"Field,Field",37,125,127,153,160,,,,248,,,,253,330,,,,
128,38,Ninetales,"Fire,Ice",Fox Pokémon,Flash Fire,19.9 kg,1.1 m,25,75,"Field,Field",38,126,128,154,161,,,,249,,,,254,331,,,,
129,40,Wigglytuff,"Normal,Fairy",Balloon Pokémon,"Cute Charm,Competitive",12.0 kg,1.0 m,25,75,Fairy,40,,,139,144,,,,283,,,121,136,169,,13,,
130,30,Nidorina,"Poison,Normal",Poison Pin Pokémon,"Poison Point,Rivalry",20.0 kg,0.8 m,0,100,,30,,,,,,,,,,105,,,,,,,
131,31,Nidoqueen,"Poison,Ground",Drill Pokémon,"Poison Point,Rivalry",60.0 kg,1.3 m,0,100,,31,,,,,,,,,,106,,,,,,,
132,113,Chansey,"Normal,Normal",Egg Pokémon,"Natural Cure,Serene Grace",34.6 kg,1.1 m,0,100,Fairy,113,217,222,,,97,,,,,,,33,40,,7,,
133,115,Kangaskhan,"Normal,Normal",Parent Pokémon,"Early Bird,Scrappy",80.0 kg,2.2 m,0,100,"Monster,Monster",115,205,210,,,,,,,,62,,165,199,,172,,
134,124,Jynx,"Ice,Psychic",Human Shape Pokémon,"Oblivious,Forewarn",40.6 kg,1.4 m,0,100,Human-Like,124,153,155,,,,,,,,,84,,,,,14,
135,29,Nidoran♀,"Poison,Normal",Poison Pin Pokémon,"Poison Point,Rivalry",7.0 kg,0.4 m,0,100,"Field,Monster",29,,,,,,,,,,104,,,,,,,
136,136,Flareon,"Fire,Fire",Flame Pokémon,Flash Fire,25.0 kg,0.9 m,87.5,12.5,Field,136,183,187,,,,166,,94,,,80,126,156,,,,182
137,23,Ekans,"Poison,Normal",Snake Pokémon,"Intimidate,Shed Skin",6.9 kg,2.0 m,50,50,"Field,Dragon",23,,,,,,,,,,,37,,,,,,
138,39,Jigglypuff,"Normal,Fairy",Balloon Pokémon,"Cute Charm,Competitive",5.5 kg,0.5 m,25,75,Fairy,39,,,138,143,,,,282,,,120,135,168,,12,,
139,81,Magnemite,"Electric,Steel",Magnet Pokémon,"Magnet Pull,Sturdy",6.0 kg,0.3 m,,,Mineral,81,118,119,82,84,,178,,48,,,69,47,54,,105,,
140,82,Magneton,"Electric,Steel",Magnet Pokémon,"Magnet Pull,Sturdy",60.0 kg,1.0 m,,,Mineral,82,119,120,83,85,,179,,49,,,70,48,55,,106,,
141,100,Voltorb,"Electric,Electric",Ball Pokémon,"Soundproof,Static",10.4 kg,0.5 m,,,"Mineral,Mineral",100,120,121,84,87,,,,,,,72,,,,,,
142,101,Electrode,"Electric,Electric",Ball Pokémon,"Soundproof,Static",66.6 kg,1.2 m,,,"Mineral,Mineral",101,121,122,85,88,,,,,,,73,,,,,,
143,120,Staryu,Water,Star Shape Pokémon,"Illuminate,Natural Cure",34.5 kg,0.8 m,,,Water 3,120,167,169,143,148,,,,238,34,,,184,223,,98,,
144,121,Starmie,"Water,Psychic",Mysterious Pokémon,"Illuminate,Natural Cure",80.0 kg,1.1 m,,,Water 3,121,,,,,,,,,,35,,185,224,,99,,
145,132,Ditto,"Normal,Normal",Transform Pokémon,Limber,4.0 kg,0.3 m,,,Ditto,132,,,,,,,,261,,,138,209,271,373,207,,
146,137,Porygon,"Normal,Normal",Virtual Pokémon,"Trace,Download",36.5 kg,0.8 m,,,Mineral,137,215,220,,,,192,,,,,,217,281,,208,,
147,144,Articuno,"Ice,Flying",Freeze Pokémon,Pressure,55.4 kg,1.7 m,,,,144,235,240,,,,,,,,151,,,,,,,
148,145,Zapdos,"Electric,Flying",Electric Pokémon,Pressure,52.6 kg,1.6 m,,,,145,236,241,,,,,,,,152,,,,,,,
149,146,Moltres,"Fire,Flying",Flame Pokémon,Pressure,60.0 kg,2.0 m,,,,146,237,242,,,,,,,,153,,,,,,,
150,150,Mewtwo,"Psychic,Fighting",Genetic Pokémon,Pressure,122.0 kg,2.0 m,,,,150,249,254,,,,,,,,,151,,,,,,
151,151,Mew,"Psychic,Normal",New Species Pokémon,Synchronize,4.0 kg,0.4 m,,,,151,250,255,,,,,,,,,,,,,,,
