index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
866,Mr. Rime,"ice,psychic",Comedian Pokémon,"Tangled Feet,/,Screen Cleaner",58.2 kg,1.5 m,50,50% ♀,Human-Like,N/A,,,,,N/A,,N/A,,,,,,,366,,12,N/A
867,Runerigus,"Ground,Ghost",Grudge Pokémon,Wandering Spirit,66.6 kg,1.6 m,50,50% ♀,"Mineral,Amorphous",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
868,Milcery,fairy,Cream Pokémon,Sweet Veil,0.3 kg,0.2 m,0,100,"Fairy,Amorphous",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
869,Alcremie,Fairy,Cream Pokémon,Sweet Veil,0.5 kg,0.3 m,0,100,"Fairy,Amorphous",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
870,Falinks,"fighting,Fighting",Formation Pokémon,Battle Armor,62.0 kg,3.0 m,N/A,N/A,"Fairy,Mineral",N/A,,,,,N/A,,N/A,,,,,,,,,,300
871,Pincurchin,"electric,Electric",Sea Urchin Pokémon,Lightning Rod,1.0 kg,0.3 m,50.2,49.8% ♀,"Water 1,Amorphous",N/A,,,,,N/A,,N/A,,,,,,,353,126,158,321
872,Snom,"ice,bug",Worm Pokémon,Shield Dust,3.8 kg,0.3 m,50,50% ♀,Bug,N/A,,,,,N/A,,N/A,,,,,,,349,,1,350
873,Frosmoth,"Ice,Bug",Frost Moth Pokémon,Shield Dust,42.0 kg,1.3 m,50,50% ♀,Bug,N/A,,,,,N/A,,N/A,,,,,,,350,,2,351
874,Stonjourner,"Rock,Rock",Big Rock Pokémon,Power Spot,520.0 kg,2.5 m,50,50% ♀,Mineral,N/A,,,,,N/A,,N/A,,,,,,,369,,89,319
875,Eiscue,"ice,Ice",Penguin Pokémon,Ice Face,89.0 kg,1.4 m,50,50% ♀,"Water 1,Field",N/A,,,,,N/A,,N/A,,,,,,,370,,90,320
876,Indeedee,"psychic,normal",Emotion Pokémon,"Inner Focus,/,Synchronize",28.0 kg,0.9 m,100,0% ♀,"Fairy,Fairy",N/A,,,,,N/A,,N/A,,,,,,,337,,171,241
877,Morpeko,"Electric,Dark",Two-Sided Pokémon,Hunger Switch,3.0 kg,0.3 m,50,50% ♀,"Field,Fairy",N/A,,,,,N/A,,N/A,,,,,,,344,104,157,N/A
878,Cufant,steel,Copperderm Pokémon,Sheer Force,100.0 kg,1.2 m,50,50% ♀,"Field,Mineral",N/A,,,,,N/A,,N/A,,,,,,,302,,108,124
879,Copperajah,steel,Copperderm Pokémon,Sheer Force,650.0 kg,3.0 m,50,50% ♀,"Field,Mineral",N/A,,,,,N/A,,N/A,,,,,,,303,,109,125
880,Dracozolt,"Electric,Dragon",Fossil Pokémon,"Volt Absorb,/,Hustle",190.0 kg,1.8 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
881,Arctozolt,"electric,ice",Fossil Pokémon,"Volt Absorb,/,Hustle",150.0 kg,2.3 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
882,Dracovish,"Water,Dragon",Fossil Pokémon,"Water Absorb,/,Strong Jaw",215.0 kg,2.3 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
883,Arctovish,"Water,Ice",Fossil Pokémon,"Water Absorb,/,Strong Jaw",175.0 kg,2.0 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
884,Duraludon,"Steel,Dragon",Alloy Pokémon,"Light Metal,/,Heavy Metal",40.0 kg,1.8 m,50,50% ♀,"Mineral,Dragon",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
885,Dreepy,"Dragon,Ghost",Lingering Pokémon,"Clear Body,/,Infiltrator",2 kg,0.5 m,50,50% ♀,"Amorphous,Dragon",N/A,,,,,N/A,,N/A,,,,,,,,,110,305
886,Drakloak,"Dragon,Ghost",Caretaker Pokémon,"Clear Body,/,Infiltrator",11.0 kg,1.4 m,50,50% ♀,"Amorphous,Dragon",N/A,,,,,N/A,,N/A,,,,,,,,,111,306
887,Dragapult,"Dragon,Ghost",Stealth Pokémon,"Clear Body,/,Infiltrator",50 kg,3 m,50,50% ♀,"Amorphous,Dragon",N/A,,,,,N/A,,N/A,,,,,,,,,112,307
890,Eternatus,"Poison,Dragon",Gigantic Pokémon,Pressure,950.0 kg,20.0 m,N/A,N/A,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
891,Kubfu,"fighting,Fighting",Wushu Pokémon,Inner Focus,12.0 kg,0.6 m,87.5,12.5% ♀,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,100,,N/A
892,Urshifu,"Fighting,Dark",Wushu Pokémon,Unseen Fist,105.0 kg,1.9 m,87.5,12.5% ♀,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,101,,N/A
893,Zarude,"Dark,Grass",Rogue Monkey Pokémon,Leaf Guard,70 kg,1.8 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,211,,N/A
894,Regieleki,"Electric,Electric",Electron Pokémon,Transistor,145.0 kg,1.2 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
895,Regidrago,"Dragon,Dragon",Dragon Orb Pokémon,Dragon's Maw,200.0 kg,2.1 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
896,Glastrier,"Ice,Normal",Wild Horse Pokémon,Chilling Neigh,800.0 kg,2.2 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
897,Spectrier,"Ghost,Normal",Swift Horse Pokémon,Grim Neigh,44.5 kg,2.0 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
898,Calyrex,"psychic,grass",King Pokémon,Unnerve,7.7 kg,1.1 m,N/A,N/A,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
899,Wyrdeer,"Normal,Psychic",Big Horn Pokémon,"Intimidate,/,Frisk",95.0 kg,1.8 m,50,50% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
900,Kleavor,"Bug,Rock",Axe Pokémon,"Swarm,/,Sheer Force",89 kg,1.8 m,50,50% ♀,Bug,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
901,Ursaluna,"Ground,Normal",Peat Pokémon,"Guts,/,Bulletproof",290.0 kg,2.4 m,50,50% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
902,Basculegion,"Water,Ghost",Big Fish Pokémon,"Rattled,LA,Swift Swim,S,V,/,Adaptability",110.0 kg,3.0 m,50,50% ♀,"Water 2,Water 2",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
903,Sneasler,"Fighting,Poison",Free Climb Pokémon,"Pressure,/,Unburden",43.0 kg,1.3 m,50,50% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
904,Overqwil,"Dark,Poison",Pin Cluster Pokémon,"Poison Point,/,Swift Swim",60.5 kg,2.5 m,50,50% ♀,Water 2,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
905,Enamorus,"Fairy,Flying",Love-Hate Pokémon,"Healer,LA,/,Cute Charm,S,V",48.0 kg,1.6 m,0,100,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
888,Zacian,"Fairy,Fairy",Warrior Pokémon,Intrepid Sword,355.0 kg,2.8 m,N/A,N/A,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
889,Zamazenta,"Fighting,Fighting",Warrior Pokémon,Dauntless Shield,210.0 kg,2.9 m,N/A,N/A,"Undiscovered,Undiscovered",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
